Variable,Description,Label,min_value,max_value,additional_value
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2205   CEBU  - Argao,2205.0,2205.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2206   CEBU  - Asturias,2206.0,2206.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2207   CEBU  - Badian,2207.0,2207.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2208   CEBU  - Balamban,2208.0,2208.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2209   CEBU  - Bantayan,2209.0,2209.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2210   CEBU  - Barili,2210.0,2210.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2211   CEBU  - City of Bogo,2211.0,2211.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2212   CEBU  - Boljoon,2212.0,2212.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2213   CEBU  - Borbon,2213.0,2213.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2214   CEBU  - City of Carcar,2214.0,2214.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2215   CEBU  - Carmen,2215.0,2215.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2216   CEBU  - Catmon,2216.0,2216.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2217   CEBU  - City of Cebu (Capital),2217.0,2217.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2218   CEBU  - Compostela,2218.0,2218.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2219   CEBU  - Consolacion,2219.0,2219.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2220   CEBU  - Cordova,2220.0,2220.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2221   CEBU  - Daanbantayan,2221.0,2221.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2222   CEBU  - Dalaguete,2222.0,2222.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2223   CEBU  - Danao City,2223.0,2223.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2224   CEBU  - Dumanjug,2224.0,2224.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2225   CEBU  - Ginatilan,2225.0,2225.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2226   CEBU  - City of Lapu-Lapu (Opon),2226.0,2226.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2227   CEBU  - Liloan,2227.0,2227.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2228   CEBU  - Madridejos,2228.0,2228.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2229   CEBU  - Malabuyoc,2229.0,2229.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2230   CEBU  - City of Mandaue,2230.0,2230.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2231   CEBU  - Medellin,2231.0,2231.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2232   CEBU  - Minglanilla,2232.0,2232.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2233   CEBU  - Moalboal,2233.0,2233.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2234   CEBU  - City of Naga,2234.0,2234.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2235   CEBU  - Oslob,2235.0,2235.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2236   CEBU  - Pilar,2236.0,2236.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2237   CEBU  - Pinamungajan,2237.0,2237.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2238   CEBU  - Poro,2238.0,2238.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2239   CEBU  - Ronda,2239.0,2239.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2240   CEBU  - Samboan,2240.0,2240.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2241   CEBU  - San Fernando,2241.0,2241.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2242   CEBU  - San Francisco,2242.0,2242.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2243   CEBU  - San Remigio,2243.0,2243.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2244   CEBU  - Santa Fe,2244.0,2244.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2245   CEBU  - Santander,2245.0,2245.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2246   CEBU  - Sibonga,2246.0,2246.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2247   CEBU  - Sogod,2247.0,2247.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2248   CEBU  - Tabogon,2248.0,2248.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2249   CEBU  - Tabuelan,2249.0,2249.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2250   CEBU  - City of Talisay,2250.0,2250.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2251   CEBU  - City of Toledo,2251.0,2251.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2252   CEBU  - Tuburan,2252.0,2252.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2253   CEBU  - Tudela,2253.0,2253.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2301   DAVAO DEL NORTE - Asuncion (Saug),2301.0,2301.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2303   DAVAO DEL NORTE - Carmen,2303.0,2303.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2305   DAVAO DEL NORTE - Kapalong,2305.0,2305.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2314   DAVAO DEL NORTE - New Corella,2314.0,2314.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2315   DAVAO DEL NORTE - City of Panabo,2315.0,2315.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2317   DAVAO DEL NORTE - Island Garden City of Samal,2317.0,2317.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2318   DAVAO DEL NORTE - Santo Tomas,2318.0,2318.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2319   DAVAO DEL NORTE - City of Tagum (Capital),2319.0,2319.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2322   DAVAO DEL NORTE - Talaingod,2322.0,2322.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2323   DAVAO DEL NORTE - Braulio E. Dujali,2323.0,2323.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2324   DAVAO DEL NORTE - San Isidro,2324.0,2324.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2401   DAVAO DEL SUR - Bansalan,2401.0,2401.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2402   DAVAO DEL SUR - City of Davao,2402.0,2402.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2403   DAVAO DEL SUR - City of Digos (Capital),2403.0,2403.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2404   DAVAO DEL SUR - Hagonoy,2404.0,2404.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2406   DAVAO DEL SUR - Kiblawan,2406.0,2406.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2407   DAVAO DEL SUR - Magsaysay,2407.0,2407.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2408   DAVAO DEL SUR - Malalag,2408.0,2408.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2410   DAVAO DEL SUR - Matanao,2410.0,2410.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2411   DAVAO DEL SUR - Padada,2411.0,2411.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2412   DAVAO DEL SUR - Santa Cruz,2412.0,2412.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2414   DAVAO DEL SUR - Sulop,2414.0,2414.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2501   DAVAO ORIENTAL - Baganga,2501.0,2501.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2502   DAVAO ORIENTAL - Banaybanay,2502.0,2502.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2503   DAVAO ORIENTAL - Boston,2503.0,2503.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2504   DAVAO ORIENTAL - Caraga,2504.0,2504.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2505   DAVAO ORIENTAL - Cateel,2505.0,2505.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2506   DAVAO ORIENTAL - Governor Generoso,2506.0,2506.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2507   DAVAO ORIENTAL - Lupon,2507.0,2507.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2508   DAVAO ORIENTAL - Manay,2508.0,2508.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2509   DAVAO ORIENTAL - City of Mati (Capital),2509.0,2509.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2510   DAVAO ORIENTAL - San Isidro,2510.0,2510.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2511   DAVAO ORIENTAL - Tarragona,2511.0,2511.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2601   EASTERN SAMAR - Arteche,2601.0,2601.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2602   EASTERN SAMAR - Balangiga,2602.0,2602.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2603   EASTERN SAMAR - Balangkayan,2603.0,2603.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2604   EASTERN SAMAR - City of Borongan (Capital),2604.0,2604.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2605   EASTERN SAMAR - Can-Avid,2605.0,2605.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2606   EASTERN SAMAR - Dolores,2606.0,2606.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2607   EASTERN SAMAR - General Macarthur,2607.0,2607.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2608   EASTERN SAMAR - Giporlos,2608.0,2608.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2609   EASTERN SAMAR - Guiuan,2609.0,2609.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2610   EASTERN SAMAR - Hernani,2610.0,2610.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2611   EASTERN SAMAR - Jipapad,2611.0,2611.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2612   EASTERN SAMAR - Lawaan,2612.0,2612.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2613   EASTERN SAMAR - Llorente,2613.0,2613.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2614   EASTERN SAMAR - Maslog,2614.0,2614.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2615   EASTERN SAMAR - Maydolong,2615.0,2615.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2616   EASTERN SAMAR - Mercedes,2616.0,2616.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2617   EASTERN SAMAR - Oras,2617.0,2617.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2618   EASTERN SAMAR - Quinapondan,2618.0,2618.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2619   EASTERN SAMAR - Salcedo,2619.0,2619.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2620   EASTERN SAMAR - San Julian,2620.0,2620.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2621   EASTERN SAMAR - San Policarpo,2621.0,2621.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2622   EASTERN SAMAR - Sulat,2622.0,2622.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2623   EASTERN SAMAR - Taft,2623.0,2623.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2701   IFUGAO - Banaue,2701.0,2701.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2702   IFUGAO - Hungduan,2702.0,2702.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2703   IFUGAO - Kiangan,2703.0,2703.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2704   IFUGAO - Lagawe (Capital),2704.0,2704.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2705   IFUGAO - Lamut,2705.0,2705.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2706   IFUGAO - Mayoyao,2706.0,2706.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2707   IFUGAO - Alfonso Lista (Potia),2707.0,2707.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2708   IFUGAO - Aguinaldo,2708.0,2708.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2709   IFUGAO - Hingyon,2709.0,2709.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2710   IFUGAO - Tinoc,2710.0,2710.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2711   IFUGAO - Asipulo,2711.0,2711.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2801   ILOCOS NORTE - Adams,2801.0,2801.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2802   ILOCOS NORTE - Bacarra,2802.0,2802.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2803   ILOCOS NORTE - Badoc,2803.0,2803.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2804   ILOCOS NORTE - Bangui,2804.0,2804.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2805   ILOCOS NORTE - City of Batac,2805.0,2805.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2806   ILOCOS NORTE - Burgos,2806.0,2806.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2807   ILOCOS NORTE - Carasi,2807.0,2807.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2808   ILOCOS NORTE - Currimao,2808.0,2808.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2809   ILOCOS NORTE - Dingras,2809.0,2809.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2810   ILOCOS NORTE - Dumalneg,2810.0,2810.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2811   ILOCOS NORTE - Banna (Espiritu),2811.0,2811.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2812   ILOCOS NORTE - City of Laoag (Capital),2812.0,2812.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2813   ILOCOS NORTE - Marcos,2813.0,2813.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2814   ILOCOS NORTE - Nueva Era,2814.0,2814.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2815   ILOCOS NORTE - Pagudpud,2815.0,2815.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2816   ILOCOS NORTE - Paoay,2816.0,2816.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2817   ILOCOS NORTE - Pasuquin,2817.0,2817.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2818   ILOCOS NORTE - Piddig,2818.0,2818.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2819   ILOCOS NORTE - Pinili,2819.0,2819.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2820   ILOCOS NORTE - San Nicolas,2820.0,2820.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2821   ILOCOS NORTE - Sarrat,2821.0,2821.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2822   ILOCOS NORTE - Solsona,2822.0,2822.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2823   ILOCOS NORTE - Vintar,2823.0,2823.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2901   ILOCOS SUR - Alilem,2901.0,2901.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2902   ILOCOS SUR - Banayoyo,2902.0,2902.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2903   ILOCOS SUR - Bantay,2903.0,2903.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2904   ILOCOS SUR - Burgos,2904.0,2904.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2905   ILOCOS SUR - Cabugao,2905.0,2905.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2906   ILOCOS SUR - City of Candon,2906.0,2906.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2907   ILOCOS SUR - Caoayan,2907.0,2907.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2908   ILOCOS SUR - Cervantes,2908.0,2908.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2909   ILOCOS SUR - Galimuyod,2909.0,2909.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2910   ILOCOS SUR - Gregorio del Pilar (Concepcion),2910.0,2910.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2911   ILOCOS SUR - Lidlidda,2911.0,2911.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2912   ILOCOS SUR - Magsingal,2912.0,2912.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2913   ILOCOS SUR - Nagbukel,2913.0,2913.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2914   ILOCOS SUR - Narvacan,2914.0,2914.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2915   ILOCOS SUR - Quirino (Angkaki),2915.0,2915.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2916   ILOCOS SUR - Salcedo (Baugen),2916.0,2916.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2917   ILOCOS SUR - San Emilio,2917.0,2917.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2918   ILOCOS SUR - San Esteban,2918.0,2918.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2919   ILOCOS SUR - San Ildefonso,2919.0,2919.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2920   ILOCOS SUR - San Juan (Lapog),2920.0,2920.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2921   ILOCOS SUR - San Vicente,2921.0,2921.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2922   ILOCOS SUR - Santa,2922.0,2922.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2923   ILOCOS SUR - Santa Catalina,2923.0,2923.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2924   ILOCOS SUR - Santa Cruz,2924.0,2924.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2925   ILOCOS SUR - Santa Lucia,2925.0,2925.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2926   ILOCOS SUR - Santa Maria,2926.0,2926.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2927   ILOCOS SUR - Santiago,2927.0,2927.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2928   ILOCOS SUR - Santo Domingo,2928.0,2928.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2929   ILOCOS SUR - Sigay,2929.0,2929.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2930   ILOCOS SUR - Sinait,2930.0,2930.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2931   ILOCOS SUR - Sugpon,2931.0,2931.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2932   ILOCOS SUR - Suyo,2932.0,2932.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2933   ILOCOS SUR - Tagudin,2933.0,2933.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",2934   ILOCOS SUR - City of Vigan (Capital),2934.0,2934.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3001   ILOILO - Ajuy,3001.0,3001.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3002   ILOILO - Alimodian,3002.0,3002.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3003   ILOILO - Anilao,3003.0,3003.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3004   ILOILO - Badiangan,3004.0,3004.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3005   ILOILO - Balasan,3005.0,3005.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3006   ILOILO - Banate,3006.0,3006.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3007   ILOILO - Barotac Nuevo,3007.0,3007.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3008   ILOILO - Barotac Viejo,3008.0,3008.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3009   ILOILO - Batad,3009.0,3009.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3010   ILOILO - Bingawan,3010.0,3010.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3012   ILOILO - Cabatuan,3012.0,3012.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3013   ILOILO - Calinog,3013.0,3013.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3014   ILOILO - Carles,3014.0,3014.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3015   ILOILO - Concepcion,3015.0,3015.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3016   ILOILO - Dingle,3016.0,3016.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3017   ILOILO - Dueñas,3017.0,3017.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3018   ILOILO - Dumangas,3018.0,3018.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3019   ILOILO - Estancia,3019.0,3019.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3020   ILOILO - Guimbal,3020.0,3020.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3021   ILOILO - Igbaras,3021.0,3021.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3022   ILOILO - City of Iloilo (Capital),3022.0,3022.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3023   ILOILO - Janiuay,3023.0,3023.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3025   ILOILO - Lambunao,3025.0,3025.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3026   ILOILO - Leganes,3026.0,3026.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3027   ILOILO - Lemery,3027.0,3027.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3028   ILOILO - Leon,3028.0,3028.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3029   ILOILO - Maasin,3029.0,3029.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3030   ILOILO - Miagao,3030.0,3030.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3031   ILOILO - Mina,3031.0,3031.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3032   ILOILO - New Lucena,3032.0,3032.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3034   ILOILO - Oton,3034.0,3034.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3035   ILOILO - City of Passi,3035.0,3035.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3036   ILOILO - Pavia,3036.0,3036.0,
PUFC11A_PROVMUN_VS1,"C11 - Location of Work (Province, Municipality)",3037   ILOILO - Pototan,3037.0,3037.0,
